label	load	cog_RESULT	jit_RESULT	jit_only_fails
openponk-fsm-editor	ok	-	-	0
opensmock-opensmock	ok	RESULT pass=1059 fail=0 err=0 timeout=0 classes=65	RESULT pass=1059 fail=0 err=0 timeout=0 classes=65[IMAGE] RESULT pass=1059 fail=0 err=0 timeout=0 classes=65	0
jecisc-chanel	ok	RESULT pass=369 fail=0 err=0 timeout=0 classes=24	RESULT pass=369 fail=0 err=0 timeout=0 classes=24[IMAGE] RESULT pass=369 fail=0 err=0 timeout=0 classes=24	0
vonbecmann-linked-list	ok	RESULT pass=690 fail=0 err=0 timeout=0 classes=16	RESULT pass=690 fail=0 err=0 timeout=0 classes=16[IMAGE] RESULT pass=690 fail=0 err=0 timeout=0 classes=16	0
pharo-project-pharo-beacon	ok	RESULT pass=17 fail=0 err=3 timeout=0 classes=7	RESULT pass=17 fail=0 err=3 timeout=0 classes=7[IMAGE] RESULT pass=17 fail=0 err=3 timeout=0 classes=7	0
ba-st-mole	ok	RESULT pass=74 fail=0 err=0 timeout=0 classes=6	RESULT pass=74 fail=0 err=0 timeout=0 classes=6[IMAGE] RESULT pass=74 fail=0 err=0 timeout=0 classes=6	0
newapplesho-twilio-smalltalk	ok	RESULT pass=5 fail=0 err=0 timeout=0 classes=5	RESULT pass=5 fail=0 err=0 timeout=0 classes=5[IMAGE] RESULT pass=5 fail=0 err=0 timeout=0 classes=5	0
pharo-contributions-methodproxies	ok	RESULT pass=45 fail=0 err=0 timeout=0 classes=4	RESULT pass=45 fail=0 err=0 timeout=0 classes=4[IMAGE] RESULT pass=45 fail=0 err=0 timeout=0 classes=4	0
romashmyhelskyi-pharoathleteproject	FAIL	-	-	-
omarabedelkader-heuristiccompletion-prefix	ok	RESULT pass=0 fail=0 err=0 timeout=0 classes=0	RESULT pass=0 fail=0 err=0 timeout=0 classes=0[IMAGE] RESULT pass=0 fail=0 err=0 timeout=0 classes=0	0
remobidyc-remobidyc	ok	RESULT pass=445 fail=0 err=0 timeout=0 classes=108	RESULT pass=445 fail=0 err=0 timeout=0 classes=108[IMAGE] RESULT pass=445 fail=0 err=0 timeout=0 classes=108	0
moosetechnology-carrefour	FAIL	-	-	-
pharo-ai-metrics	ok	RESULT pass=28 fail=0 err=0 timeout=0 classes=19	RESULT pass=28 fail=0 err=0 timeout=0 classes=19[IMAGE] RESULT pass=28 fail=0 err=0 timeout=0 classes=19	0
smalltalkweb-myprecious	ok	RESULT pass=107 fail=0 err=2 timeout=0 classes=4	-	0
moosetechnology-esope	FAIL	-	-	-
tomooda-honeyginger	ok	RESULT pass=120 fail=0 err=0 timeout=0 classes=7	RESULT pass=120 fail=0 err=0 timeout=0 classes=7[IMAGE] RESULT pass=120 fail=0 err=0 timeout=0 classes=7	0
pharo-ai-hierarchical-clustering	ok	RESULT pass=22 fail=0 err=0 timeout=0 classes=4	RESULT pass=22 fail=0 err=0 timeout=0 classes=4[IMAGE] RESULT pass=22 fail=0 err=0 timeout=0 classes=4	0
evref-bl-bitbucketcloud-pharo-api	ok	RESULT pass=15 fail=0 err=0 timeout=0 classes=4	RESULT pass=15 fail=0 err=0 timeout=0 classes=4[IMAGE] RESULT pass=15 fail=0 err=0 timeout=0 classes=4	0
omarabedelkader-heuristiccompletion-analyser	ok	RESULT pass=31 fail=0 err=1 timeout=0 classes=3	RESULT pass=31 fail=0 err=1 timeout=0 classes=3[IMAGE] RESULT pass=31 fail=0 err=1 timeout=0 classes=3	0
seandenigris-pharo-enhancements	FAIL	-	-	-
pharo-graphics-bloc	FAIL	-	-	-
unicompute-gemstone-pharo-bridge	ok	-	-	0
pharo-cig-pharo-cig	ok	RESULT pass=279 fail=15 err=48 timeout=0 classes=35	RESULT pass=279 fail=15 err=48 timeout=0 classes=35[IMAGE] RESULT pass=279 fail=15 err=48 timeout=0 classes=35	0
maxwills-seekerdebugger	FAIL	-	-	-
shingarov-pharo-archc	FAIL	-	-	-
mumez-pharo-acp	ok	RESULT pass=170 fail=0 err=0 timeout=0 classes=10	-	0
bouraqadi-pharomisc	ok	RESULT pass=0 fail=0 err=0 timeout=0 classes=0	RESULT pass=0 fail=0 err=0 timeout=0 classes=0[IMAGE] RESULT pass=0 fail=0 err=0 timeout=0 classes=0	0
ba-st-launchpad	ok	RESULT pass=0 fail=0 err=0 timeout=0 classes=0	RESULT pass=0 fail=0 err=0 timeout=0 classes=0[IMAGE] RESULT pass=0 fail=0 err=0 timeout=0 classes=0	0
pharo-ai-moose-linear-algebra	ok	RESULT pass=146 fail=0 err=0 timeout=0 classes=13	RESULT pass=146 fail=0 err=0 timeout=0 classes=13[IMAGE] RESULT pass=146 fail=0 err=0 timeout=0 classes=13	0
pharo-ai-a-priori	ok	RESULT pass=61 fail=0 err=0 timeout=0 classes=11	RESULT pass=61 fail=0 err=0 timeout=0 classes=11[IMAGE] RESULT pass=61 fail=0 err=0 timeout=0 classes=11	0
evref-bl-bitbucket-pharo-api	ok	RESULT pass=30 fail=0 err=0 timeout=0 classes=8	RESULT pass=30 fail=0 err=0 timeout=0 classes=8[IMAGE] RESULT pass=30 fail=0 err=0 timeout=0 classes=8	0
apptivegrid-fluxbase	ok	RESULT pass=154 fail=0 err=0 timeout=0 classes=28	RESULT pass=154 fail=0 err=0 timeout=0 classes=28[IMAGE] RESULT pass=154 fail=0 err=0 timeout=0 classes=28	0
pharo-containers-containers-trie	ok	RESULT pass=41 fail=0 err=0 timeout=0 classes=5	RESULT pass=41 fail=0 err=0 timeout=0 classes=5[IMAGE] RESULT pass=41 fail=0 err=0 timeout=0 classes=5	0
georghagn-tsf-filerotator	ok	RESULT pass=7 fail=0 err=1 timeout=0 classes=4	RESULT pass=7 fail=0 err=1 timeout=0 classes=4[IMAGE] RESULT pass=7 fail=0 err=1 timeout=0 classes=4	0
hernanmd-biosmalltalk	FAIL	-	-	-
