label	load	cog_RESULT	jit_RESULT	jit_only_fails
mumez-redistick	ok	RESULT pass=1 fail=6 err=4 timeout=0 classes=4	RESULT pass=1 fail=6 err=4 timeout=0 classes=4[IMAGE] RESULT pass=1 fail=6 err=4 timeout=0 classes=4	3
eiichiroito-avr-pharo	ok	RESULT pass=1705 fail=0 err=0 timeout=0 classes=158	RESULT pass=1705 fail=0 err=0 timeout=0 classes=158[IMAGE] RESULT pass=1705 fail=0 err=0 timeout=0 classes=158	0
ba-st-buoy	ok	RESULT pass=344 fail=0 err=0 timeout=0 classes=20	RESULT pass=344 fail=0 err=0 timeout=0 classes=20[IMAGE] RESULT pass=344 fail=0 err=0 timeout=0 classes=20	0
pharo-ai-decision-tree-model	ok	RESULT pass=103 fail=0 err=0 timeout=0 classes=15	RESULT pass=103 fail=0 err=0 timeout=0 classes=15[IMAGE] RESULT pass=103 fail=0 err=0 timeout=0 classes=15	0
chicoary-pharowiki	FAIL	-	-	-
polymathorg-vector-matrix	ok	RESULT pass=162 fail=0 err=0 timeout=0 classes=9	RESULT pass=162 fail=0 err=0 timeout=0 classes=9[IMAGE] RESULT pass=162 fail=0 err=0 timeout=0 classes=9	0
newapplesho-aws-sdk-smalltalk	ok	RESULT pass=10 fail=0 err=0 timeout=0 classes=1	RESULT pass=10 fail=0 err=0 timeout=0 classes=1[IMAGE] RESULT pass=10 fail=0 err=0 timeout=0 classes=1	0
ronsaldo-pharo-newfile	ok	RESULT pass=42 fail=0 err=0 timeout=0 classes=6	RESULT pass=42 fail=0 err=0 timeout=0 classes=6[IMAGE] RESULT pass=42 fail=0 err=0 timeout=0 classes=6	0
pharo-contributions-singularizepluralize	ok	RESULT pass=180 fail=0 err=0 timeout=0 classes=4	RESULT pass=180 fail=0 err=0 timeout=0 classes=4[IMAGE] RESULT pass=180 fail=0 err=0 timeout=0 classes=4	0
georghagn-tsf-logger	ok	RESULT pass=5 fail=0 err=0 timeout=0 classes=3	RESULT pass=5 fail=0 err=0 timeout=0 classes=3[IMAGE] RESULT pass=5 fail=0 err=0 timeout=0 classes=3	0
rko281-restoreforpharo	ok	-	-	3
evref-bl-mcp	ok	RESULT pass=696 fail=1 err=1 timeout=0 classes=46	-	0
javierlarre-pharo-test-analysis	FAIL	-	-	-
thalesgroup-geotools	ok	RESULT pass=121 fail=0 err=0 timeout=0 classes=13	RESULT pass=121 fail=0 err=0 timeout=0 classes=13[IMAGE] RESULT pass=121 fail=0 err=0 timeout=0 classes=13	0
j-brant-smacc	ok	RESULT pass=557 fail=0 err=8 timeout=0 classes=9	-	1
jordanmontt-illimani-memory-profiler	ok	RESULT pass=28 fail=0 err=0 timeout=0 classes=8	RESULT pass=28 fail=0 err=0 timeout=0 classes=8[IMAGE] RESULT pass=28 fail=0 err=0 timeout=0 classes=8	0
pharo-xp-tools-debuggingspy	ok	RESULT pass=105 fail=1 err=7 timeout=0 classes=6	RESULT pass=105 fail=1 err=7 timeout=0 classes=6[IMAGE] RESULT pass=105 fail=1 err=7 timeout=0 classes=6	0
moosetechnology-famix-executionflow	ok	RESULT pass=0 fail=0 err=8 timeout=0 classes=2	RESULT pass=0 fail=0 err=8 timeout=0 classes=2[IMAGE] RESULT pass=0 fail=0 err=8 timeout=0 classes=2	0
moosetechnology-fast	ok	RESULT pass=12 fail=0 err=9 timeout=0 classes=3	-	0
jordanmontt-pharo-instrumentation	ok	RESULT pass=12 fail=0 err=5 timeout=0 classes=2	RESULT pass=12 fail=0 err=5 timeout=0 classes=2[IMAGE] RESULT pass=12 fail=0 err=5 timeout=0 classes=2	0
tomooda-viennatalk	ok	RESULT pass=1430 fail=0 err=0 timeout=0 classes=301	-	0
pharo-graphics-roassal	ok	-	-	0
pharo-cig-unifiedffi	FAIL	-	-	-
cormas-cormas	ok	-	-	0
olesia32-pharo-spec-components	ok	-	-	0
newapplesho-google-cloud-smalltalk	ok	RESULT pass=36 fail=0 err=0 timeout=0 classes=14	RESULT pass=36 fail=0 err=0 timeout=0 classes=14[IMAGE] RESULT pass=36 fail=0 err=0 timeout=0 classes=14	0
pharo-rdbms-glorp	ok	RESULT pass=262 fail=0 err=0 timeout=0 classes=41	RESULT pass=262 fail=0 err=0 timeout=0 classes=41[IMAGE] RESULT pass=262 fail=0 err=0 timeout=0 classes=41	0
pharo-ai-graph-algorithms	ok	RESULT pass=176 fail=0 err=0 timeout=0 classes=24	RESULT pass=176 fail=0 err=0 timeout=0 classes=24[IMAGE] RESULT pass=176 fail=0 err=0 timeout=0 classes=24	0
pharo-ai-edit-distances	ok	RESULT pass=123 fail=0 err=0 timeout=0 classes=17	RESULT pass=123 fail=0 err=0 timeout=0 classes=17[IMAGE] RESULT pass=123 fail=0 err=0 timeout=0 classes=17	0
rvillemeur-pharomcp	ok	RESULT pass=232 fail=0 err=12 timeout=0 classes=11	RESULT pass=232 fail=0 err=12 timeout=0 classes=11[IMAGE] RESULT pass=232 fail=0 err=12 timeout=0 classes=11	0
pharo-ai-ngrammodel	ok	RESULT pass=81 fail=0 err=0 timeout=0 classes=6	RESULT pass=81 fail=0 err=0 timeout=0 classes=6[IMAGE] RESULT pass=81 fail=0 err=0 timeout=0 classes=6	0
